 Pages
Label,Unique Pageviews,Bounce Rate,Exit rate,
 Space Availability - Study Rooms - Library Calendars - Arthur Lakes Library,758,30%,40%,
 Booking Details - Library Calendars - Arthur Lakes Library,583,85%,82%,
 Check In - Library Calendars - Arthur Lakes Library,471,69%,79%,
 Modern Researcher 501: Writing your first paper *ON ZOOM* - Library Calendars - Arthur Lakes Library,454,70%,95%,
 Opening Hours - Library Calendars - Arthur Lakes Library,211,68%,87%,
 Gadgets to Go - Library Calendars - Arthur Lakes Library,158,36%,50%,
" Golden Town & Gown - Andrew Terrill's ""The Earth Beneath My Feet” - Library Calendars - Arthur Lakes Library",124,83%,94%,
 Community Conversations - W-MCA Handmaid's Tale - Library Calendars - Arthur Lakes Library,104,90%,94%,
 Modern Researcher 501: Introduction to LaTeX with Overleaf *ON ZOOM* - Library Calendars - Arthur Lakes Library,76,75%,74%,
 Cancel Booking - Library Calendars - Arthur Lakes Library,74,74%,70%,
 Space Availability - Studio - Library Calendars - Arthur Lakes Library,74,34%,49%,
 Book a Librarian Online - Library Calendars - Arthur Lakes Library,73,66%,81%,
 Events @ Arthur Lakes Library - Library Calendars - Arthur Lakes Library,73,37%,71%,
 Library Calendars - Arthur Lakes Library,71,55%,49%,
 Modern Researcher 501: Effective negotiation strategies - Library Calendars - Arthur Lakes Library,62,85%,85%,
 Modern Researcher 501: Auto-magic citations and bibliographies: Introduction to citation management with Zotero *ON ZOOM* - Library Calendars - Arthur Lakes Library,59,59%,80%,
 Confirmed Bookings - Library Calendars - Arthur Lakes Library,44,70%,50%,
 Book a Librarian - Library Calendars - Arthur Lakes Library,35,25%,43%,
 Space Availability - Conference Room - Library Calendars - Arthur Lakes Library,35,17%,37%,
 Book a Librarian In Person - Library Calendars - Arthur Lakes Library,34,44%,68%,
 Modern Researcher 501: Getting started with GitHub - Library Calendars - Arthur Lakes Library,34,67%,79%,
 Space Availability - 120B-M - Library Calendars - Arthur Lakes Library,34,67%,32%,
 Space Availability - 220C-M - Library Calendars - Arthur Lakes Library,30,100%,40%,
 Space Availability - 220A-M - Library Calendars - Arthur Lakes Library,28,100%,18%,
 Modern Researcher 501: Getting started with GitHub *ON ZOOM* - Library Calendars - Arthur Lakes Library,27,85%,74%,

Outlinks
Label,Unique Clicks,Clicks
library.mines.edu,94,105
www.mines.edu,32,41
mines.libcal.com,21,26
libguides.mines.edu,13,13
mines.libapps.com,11,11
www.google.com,4,4
docs.google.com,1,1
inside.mines.edu,1,1
libauth.com,1,1
mines.primo.exlibrisgroup.com,1,1
mines.zoom.us,1,1
onlinemanual.nikonimglib.com,1,1
www.amazon.com,1,1,

Referring URLs
Label,Visits,
library.mines.edu,934,
idp.mines.edu,145,
libguides.mines.edu,51,
api3.libcal.com,12,
trailhead.mines.edu,5,
www.mines.edu,4,
mines0.sharepoint.com,3,
webapps.mines.edu,3,
www.unco.edu,3,
mail.google.com,2,
com.google.android.gm,1,
goldentoday.com,1,
graduateschool.colostate.edu,1,
innovation.mines.edu,1,
mines.edu,1,
mines.libapps.com,1,
